Num_of_engine,Num_of_var,Perf_gain
1,100,0
1,100,0
1,100,0
1,100,0
1,100,0
1,100,0
1,100,0
1,100,0
1,100,0
1,100,0
1,150,0
1,150,0
1,150,0
1,150,0
1,150,0
1,150,0
1,150,0
1,150,0
1,150,0
1,150,0
1,200,0
1,200,0
1,200,0
1,200,0
1,200,0
1,200,0
1,200,0
1,200,0
1,200,0
1,200,0
1,250,0
1,250,0
1,250,0
1,250,0
1,250,0
1,250,0
1,250,0
1,250,0
1,250,0
1,250,0
1,300,0
1,300,0
1,300,0
1,300,0
1,300,0
1,300,0
1,300,0
1,300,0
1,300,0
1,300,0
2,100,5.0505
2,100,6.07734
2,100,3.55556
2,100,-2.92683
2,100,-3.05344
2,100,8.88889
2,100,-2.27273
2,100,1.37615
2,100,1.70213
2,100,7.14285
2,150,4.10677
2,150,3.28467
2,150,2.64706
2,150,2.8302
2,150,2.13524
2,150,2.00573
2,150,5.26316
2,150,-2.88461
2,150,3.36134
2,150,0
2,200,3.97351
2,200,1.85874
2,200,0.322586
2,200,-3.59476
2,200,4.66472
2,200,1.61725
2,200,2.03735
2,200,4.51978
2,200,5.19802
2,200,0
2,250,1.27552
2,250,3.16206
2,250,-0.339556
2,250,4.62633
2,250,2.53164
2,250,0.406504
2,250,3.58056
2,250,2.27273
2,250,0
2,250,4.69256
2,300,3.91304
2,300,2.56411
2,300,4.73061
2,300,2.08768
2,300,-1.50377
2,300,7.61751
2,300,2.80173
2,300,5.21473
2,300,1.07527
2,300,2.54238
4,100,9.33333
4,100,9.21986
4,100,6.39535
4,100,1.8868
4,100,4.97513
4,100,8.98204
4,100,-3.93701
4,100,1.92308
4,100,7.90961
4,100,1.227
4,150,3.78379
4,150,-2.03046
4,150,5.05837
4,150,3.7267
4,150,-1.93237
4,150,6.81819
4,150,8.60215
4,150,0
4,150,5.58659
4,150,-0.68028
4,200,4.01785
4,200,3.36539
4,200,3.81356
4,200,3.71901
4,200,5.05836
4,200,2.60223
4,200,4.30839
4,200,8.18858
4,200,7.59076
4,200,2.31788
4,250,3.1359
4,250,4.19948
4,250,1.82233
4,250,7.58294
4,250,2.0202
4,250,5.51181
4,250,5.01672
4,250,-1.5748
4,250,0.519478
4,250,5.68927
4,300,1.77515
4,300,3.9267
4,300,2.99296
4,300,7.39726
4,300,0.518137
4,300,5.09977
4,300,6.30372
4,300,3.81356
4,300,1.08303
4,300,1.72085
8,100,0
8,100,5.35714
8,100,9.02777
8,100,-1.51515
8,100,4.45861
8,100,4.41177
8,100,-4.71698
8,100,0.813013
8,100,-1.41844
8,100,2.98507
8,150,3.92157
8,150,0.645167
8,150,0.990105
8,150,1.53257
8,150,-1.16279
8,150,7.14285
8,150,8.25688
8,150,-2.59068
8,150,10.1351
8,150,-1.6529
8,200,-0.845063
8,200,1.227
8,200,2.60417
8,200,1.52284
8,200,2.91262
8,200,1.39535
8,200,5.4131
8,200,7.53012
8,200,-0.427353
8,200,2.04082
8,250,3.38983
8,250,3.21543
8,250,2.29886
8,250,0.621122
8,250,1.26582
8,250,6.07029
8,250,9.7561
8,250,0
8,250,0.634921
8,250,6.72043
8,300,1.47059
8,300,3.88349
8,300,2.00893
8,300,4.13793
8,300,-0.625002
8,300,3.34262
8,300,3.53357
8,300,3.68421
8,300,3.49345
8,300,0.238663
16,100,-6.12245
16,100,3.1579
16,100,3.33332
16,100,2.52101
16,100,0.746268
16,100,0
16,100,0
16,100,-2.91263
16,100,-3.44828
16,100,0.88495
16,150,1.93798
16,150,2.22222
16,150,5.11363
16,150,2.23214
16,150,-1.35134
16,150,2.79329
16,150,6.45161
16,150,-1.21212
16,150,7.5
16,150,0
16,200,0.974029
16,200,-8.69565
16,200,6.09756
16,200,1.75439
16,200,2.84091
16,200,3.74331
16,200,5.7047
16,200,5.35715
16,200,3
16,200,1.41509
16,250,1.49254
16,250,2.29008
16,250,4.04041
16,250,-0.740743
16,250,0.49752
16,250,6.74158
16,250,5.33981
16,250,-0.57143
16,250,1.84503
16,250,5.37975
16,300,-0.854695
16,300,4.44444
16,300,1.54639
16,300,4.8
16,300,2.14286
16,300,0.983602
16,300,2.04918
16,300,0.636941
16,300,-1.57895
16,300,-0.573063
